"Year","Basin","ReleaseSite","RKM","ArrDate","CountOut","TransportCount","CountBack","estSAR","Salt0","Salt1","Salt2","Salt3","Salt4","Species","Rtype","Run","RTPath","Transported"
2018,"Clearwater","BCCAP","522.224.057",197,25,0,0,0,0,0,0,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2018,"Clearwater","CEFLAF","522.224.120.037.008",198,7,0,0,0,0,0,0,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2018,"Snake","CJRAP","522.263",196,13,0,0,0,0,0,0,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2018,"Clearwater","LUGUAF","522.224.120.014",198,10,0,0,0,0,0,0,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2018,"Snake","LYFE","522.095",136,2134,0,9,0.42,9,0,0,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2018,"Clearwater","NLVP","522.224.019.001",197,1,0,0,0,0,0,0,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2018,"Clearwater","NPTH","522.224.038",198,10,0,0,0,0,0,0,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2018,"Snake","PLAP","522.346",195,3,0,0,0,0,0,0,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2017,"Clearwater","BCCAP","522.224.057",170,626,0,0,0,0,0,0,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2017,"Snake","CJRAP","522.263",161,1009,0,0,0,0,0,0,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2017,"Snake","LYFE","522.095",140,1768,0,9,0.51,6,3,0,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2017,"Snake","PLAP","522.346",159,955,0,1,0.1,0,1,0,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2016,"Clearwater","BCCAP","522.224.057",140,86,0,1,1.16,0,0,1,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2016,"Snake","CJRAP","522.263",160,240,0,2,0.83,0,2,0,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2016,"Clearwater","LUGUAF","522.224.120.014",181,21,0,0,0,0,0,0,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2016,"Snake","LYFE","522.095",123,2262,0,44,1.95,17,12,15,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2016,"Clearwater","NPTH","522.224.038",183,6,0,0,0,0,0,0,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2016,"Snake","PLAP","522.346",158,205,0,3,1.46,0,0,3,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2015,"Clearwater","BCCAP","522.224.057",138,66,0,2,3.03,0,1,1,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2015,"Clearwater","CEFLAF","522.224.120.037.008",157,12,0,0,0,0,0,0,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2015,"Snake","CJRAP","522.263",161,236,0,5,2.12,0,2,3,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2015,"Clearwater","LUGUAF","522.224.120.014",181,14,0,0,0,0,0,0,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2015,"Snake","LYFE","522.095",124,2081,0,74,3.56,22,29,22,1,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2015,"Clearwater","NPTH","522.224.038",166,16,0,1,6.25,1,0,0,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2015,"Snake","PLAP","522.346",156,184,0,3,1.63,1,1,0,1,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2014,"Clearwater","BCCAP","522.224.057",160,102,0,1,0.98,1,0,0,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2014,"Clearwater","CEFLAF","522.224.120.037.008",195,77,0,1,1.3,0,0,1,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2014,"Snake","CJRAP","522.263",174,201,0,1,0.5,0,1,0,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2014,"Clearwater","LUGUAF","522.224.120.014",189,89,0,0,0,0,0,0,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2014,"Snake","LYFE","522.095",142,1860,0,26,1.4,7,7,11,1,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2014,"Clearwater","NLVP","522.224.019.001",182,73,0,0,0,0,0,0,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2014,"Clearwater","NPTH","522.224.038",198,86,0,1,1.16,0,0,1,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2014,"Snake","PLAP","522.346",154,138,0,1,0.72,1,0,0,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2013,"Clearwater","BCCAP","522.224.057",129,596,0,50,8.39,14,12,19,5,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2013,"Clearwater","CEFLAF","522.224.120.037.008",111,5,0,1,20,0,1,0,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2013,"Snake","CJRAP","522.263",146,220,0,12,5.45,5,2,5,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2013,"Clearwater","LUGUAF","522.224.120.014",108,7,0,0,0,0,0,0,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2013,"Snake","LYFE","522.095",132,2180,0,84,3.85,22,19,38,4,1,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2013,"Clearwater","NPTH","522.224.038",117,5,0,1,20,0,1,0,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2013,"Snake","PLAP","522.346",152,184,0,2,1.09,0,2,0,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2013,"Snake","SNAKE3","522",173,96,0,0,0,0,0,0,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2012,"Clearwater","BCCAP","522.224.057",162,2134,0,71,3.33,8,21,28,12,2,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2012,"Clearwater","CEFLAF","522.224.120.037.008",192,426,0,6,1.41,0,1,2,3,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2012,"Snake","CJRAP","522.263",161,1983,0,63,3.18,16,14,17,16,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2012,"Clearwater","LUGUAF","522.224.120.014",190,470,0,4,0.85,0,1,1,2,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2012,"Snake","LYFE","522.095",142,1344,0,55,4.09,12,17,24,2,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2012,"Clearwater","NPTH","522.224.038",196,92,0,1,1.09,0,0,1,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2012,"Snake","PLAP","522.346",158,1662,0,42,2.53,12,16,8,6,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2012,"Snake","SNAKE3","522.254",182,463,0,3,0.65,0,2,0,1,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2012,"Snake","SNAKE4","522.395",168,281,0,2,0.71,0,2,0,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2011,"Clearwater","BCCAP","522.224.057",165,2306,0,113,4.9,20,26,45,19,3,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2011,"Clearwater","CEFLAF","522.224.120.037.008",190,630,0,22,3.49,0,4,11,7,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2011,"Snake","CJRAP","522.263",144,1632,0,48,2.94,7,14,22,5,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2011,"Clearwater","LUGUAF","522.224.120.014",186,603,0,26,4.31,0,7,11,8,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2011,"Snake","LYFE","522.095",124,1797,0,63,3.51,19,20,16,8,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2011,"Clearwater","NPTH","522.224.038",198,180,0,10,5.56,0,0,4,5,1,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2011,"Snake","PLAP","522.346",143,1394,0,35,2.51,12,4,10,9,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2011,"Snake","SNAKE3","522.254",181,448,0,12,2.68,0,2,3,6,1,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2011,"Snake","SNAKE4","522.395",159,151,0,2,1.32,0,0,1,1,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2010,"Clearwater","BCCAP","522.224.057",146,4253,0,220,5.17,23,99,84,12,2,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2010,"Clearwater","CEFLAF","522.224.120.037.008",188,408,0,14,3.43,0,5,7,2,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2010,"Snake","CJRAP","522.263",145,4468,0,213,4.77,94,42,47,29,1,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2010,"Clearwater","LUGUAF","522.224.120.014",185,419,0,6,1.43,0,2,2,2,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2010,"Snake","LYFE","522.095",127,3526,0,132,3.74,36,59,36,1,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2010,"Clearwater","NLVP","522.224.019.001",175,125,0,3,2.4,0,1,1,1,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2010,"Clearwater","NPTH","522.224.038",189,181,0,2,1.1,0,0,1,1,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2010,"Snake","PLAP","522.346",147,2952,0,108,3.66,30,26,37,13,2,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2010,"Snake","SNAKE3","522.254",176,609,0,10,1.64,0,3,4,3,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2010,"Snake","SNAKE4","522.395",164,322,0,19,5.9,0,6,11,2,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2009,"Clearwater","BCCAP","522.224.057",149,2056,0,47,2.29,7,23,14,3,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2009,"Clearwater","CEFLAF","522.224.120.037.008",191,419,0,0,0,0,0,0,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2009,"Snake","CJRAP","522.263",148,1917,0,48,2.5,21,14,8,4,1,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2009,"Clearwater","LUGUAF","522.224.120.014",185,682,0,2,0.29,0,0,1,1,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2009,"Snake","LYFE","522.095",130,2116,0,78,3.69,22,32,20,4,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2009,"Clearwater","NPTH","522.224.038",185,113,0,0,0,0,0,0,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2009,"Snake","PLAP","522.346",148,1775,0,23,1.3,8,6,9,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2009,"Snake","SNAKE3","522.254",176,906,0,10,1.1,0,2,7,1,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2009,"Snake","SNAKE4","522.395",165,533,0,2,0.38,0,0,2,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2008,"Clearwater","BCCAP","522.224.057",174,3008,0,155,5.15,31,55,59,10,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2008,"Snake","CJRAP","522.263",165,3269,0,239,7.31,123,54,45,16,1,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2008,"Clearwater","LUGUAF","522.224.120.014",197,349,0,9,2.58,0,6,1,2,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2008,"Snake","LYFE","522.095",128,2837,0,403,14.21,244,95,60,4,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2008,"Clearwater","NPTH","522.224.038",197,166,0,2,1.2,0,1,1,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2008,"Snake","PLAP","522.346",163,2446,0,130,5.31,38,42,41,9,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2008,"Snake","SNAKE3","522.254",190,719,0,21,2.92,0,11,8,2,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2007,"Clearwater","BCCAP","522.224.057",137,524,0,14,2.67,1,8,4,1,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2007,"Snake","CJRAP","522.263",145,314,0,3,0.96,1,1,1,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2007,"Grande Ronde","COUGRC","522.271.049",126,4,0,0,0,0,0,0,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2007,"Snake","LYFE","522.095",173,56,0,0,0,0,0,0,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2007,"Clearwater","NLVP","522.224.019.001",175,88,0,0,0,0,0,0,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2007,"Clearwater","NPTH","522.224.038",190,51,0,0,0,0,0,0,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2007,"Snake","PLAP","522.346",141,399,0,4,1,2,1,1,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2007,"Snake","SNAKE3","522.253",147,1,0,0,0,0,0,0,0,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2007,"Snake","SNAKE4","522.395",167,460,0,2,0.43,0,0,1,1,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2006,"Clearwater","BCCAP","522.224.057",170,2750,0,72,2.62,4,29,27,12,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2006,"Clearwater","CEFLAF","522.224.120.037.008",187,103,0,4,3.88,0,3,0,1,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
2006,"Snake","CJRAP","522.263",144,614,0,31,5.05,14,9,6,2,0,"Chinook","Hatchery","Fall","BON-BON","Unknown"
